Word,E,P,A
ADEQUATE,4.7,3.64,6.89
ADHERE,5.17,3.52,3.9
ADHESIVE,5.84,3.2,4.88
ADIDAS,5.77,4.18,6.3
ADJACENT,5.15,2.78,4.27
ADJECTIVE,5.95,3.64,6.11
ADJOINING,5.06,3.52,4.65
ADJOURN,5.5,3.15,5.75
ADJUST,5.76,3.0,6.0
ADJUSTER,4.25,3.5,5.84
ADJUSTMENT,5.53,4.59,4.53
ADMIN,4.37,3.64,5.83
ADMINISTER,4.4,3.86,6.33
ADMINISTRATION,4.45,3.23,4.77
ADMINISTRATIVE,4.79,3.21,5.9
ADMINISTRATOR,5.32,4.74,5.48
ADMIRABLE,7.0,4.57,5.81
ADMIRAL,4.8,4.05,5.68
ADMIRALTY,6.16,4.27,6.08
ADMIRATION,7.58,5.52,6.11
ADMIRE,7.35,5.0,7.33
ADMIRED,7.25,5.95,6.94
ADMIRER,7.05,6.0,6.27
ADMISSIBLE,5.16,2.9,6.21
ADMISSION,5.91,3.69,5.54
ADMIT,5.56,3.35,4.56
ADMITTANCE,6.29,3.6,5.96
ADO,4.82,3.33,4.48
ADOBE,5.25,3.89,5.55
ADOLESCENCE,6.0,5.1,4.44
ADOLESCENT,5.38,4.2,4.0
ADOPT,6.9,4.71,5.45
ADOPTION,6.68,4.82,5.62
ADOPTIVE,5.67,4.4,5.59
ADORABLE,7.4,4.66,6.83
ADORATION,6.47,4.36,6.54
ADORE,7.37,5.96,6.26
ADORING,7.38,4.86,6.29
ADRENALIN,6.33,5.05,4.85
ADRENALINE,6.61,5.95,5.72
ADRIFT,4.36,3.19,4.09
ADULT,5.9,4.36,6.46
ADULTERER,2.77,5.68,3.2
ADULTERY,2.81,6.42,3.33
ADULTHOOD,5.05,4.28,6.11
ADVANCE,6.11,4.62,6.12
ADVANCED,6.14,3.83,6.96
ADVANCEMENT,7.47,5.81,6.38
ADVANTAGE,6.71,3.95,7.19
ADVANTAGEOUS,6.79,5.7,6.22
ADVENTURE,7.4,6.36,6.36
ADVENTURER,7.0,5.27,5.83
ADVENTUROUS,7.37,6.67,5.71
ADVERSARY,4.55,4.41,5.0
ADVERSE,3.68,3.89,3.35
ADVERSITY,4.26,3.82,4.63
ADVERTISE,5.16,4.29,5.74
ADVERTISEMENT,4.3,4.14,5.84
ADVERTISING,4.68,3.25,5.0
ADVICE,5.78,3.05,5.83
ADVISABLE,5.62,4.36,5.86
ADVISE,5.44,3.38,6.41
ADVISEMENT,4.55,4.04,5.92
ADVISER,5.68,3.36,6.18
ADVISOR,4.74,3.19,5.7
ADVISORY,4.95,4.05,4.19
ADVOCATE,5.25,4.59,7.26
AERIAL,6.04,3.67,5.17
AEROBICS,6.0,5.1,5.7
AERODYNAMIC,6.16,4.33,5.1
AEROSPACE,5.79,4.52,5.17
AESTHETIC,5.43,2.88,5.5
AFFAIR,3.1,5.4,5.89
AFFECT,5.65,3.61,6.39
AFFECTION,7.89,5.64,6.6
AFFECTIONATE,7.23,4.77,6.9
AFFIDAVIT,4.38,3.73,4.04
AFFILIATION,5.32,3.9,5.3
AFFINITY,5.86,4.29,6.55
AFFIRMATION,5.95,3.95,6.53
AFFIRMATIVE,5.94,3.64,6.78
AFFLICTION,3.76,5.1,4.17
AFFORD,6.56,4.33,6.44
AFFORDABLE,7.52,4.11,6.16
AFFRONT,4.53,4.5,5.04
AFIRE,6.05,5.41,4.38
AFLOAT,5.57,4.13,4.96
AFOREMENTIONED,5.21,3.5,4.96
AFRAID,2.25,5.12,2.71
AFRICAN,6.42,4.11,5.8
AFTERLIFE,5.53,4.32,5.86
AFTERMATH,4.29,5.38,4.23
AFTERNOON,6.68,3.48,5.71
AFTERSHAVE,5.55,3.5,5.81
AGE,5.78,3.71,4.67
AGENCY,5.14,3.17,4.89
AGENDA,5.05,3.62,5.36
AGENT,5.23,3.43,5.65
AGGRAVATE,2.55,5.9,4.85
AGGRAVATION,2.48,5.35,4.45
AGGRESSION,3.18,5.69,4.65
AGGRESSIVE,3.08,5.87,5.49
AGGRESSIVENESS,3.58,6.43,5.21
AGGRESSOR,2.8,6.55,4.57
AGILE,5.95,4.95,6.09
AGILITY,6.55,4.21,6.41
AGING,3.0,3.8,3.06
AGITATE,3.36,5.82,4.55
AGITATION,2.84,4.75,3.29
AGLOW,5.84,4.83,5.59
AGONIZING,2.68,6.71,4.04
AGONY,2.46,5.78,4.0
AGREE,7.17,3.62,6.94
AGREEABLE,6.9,3.55,6.97
AGREEMENT,6.75,4.05,6.48
AGRICULTURAL,5.5,3.55,5.74
AGRICULTURE,6.1,3.05,6.0
AHOY,5.58,3.95,5.45
AID,6.29,4.55,5.95
AIDE,5.6,4.0,7.05
AIDS,1.33,5.0,3.55
AILING,2.95,4.52,4.15
AILMENT,3.0,3.68,3.14
AIM,5.95,4.0,6.5
AIR,6.71,3.25,5.72
AIRBAG,5.4,3.64,4.81
AIRBORNE,5.25,3.52,4.48
AIRCRAFT,6.3,4.86,5.71
AIRCRAFT_CARRIER,5.25,4.64,5.85
AIRFIELD,5.74,4.38,4.82
AIRHEAD,4.1,4.3,4.19
AIRLINE,5.36,4.12,4.92
AIRLINER,6.05,4.0,4.25
AIRLOCK,4.85,4.23,5.0
AIRPLANE,5.25,5.62,4.12
AIRPORT,6.0,5.5,5.79
AIRSHIP,5.63,4.88,4.43
AIRSPACE,5.5,4.4,4.91
AIRSPEED,4.95,4.33,5.24
AIRSTRIP,4.76,3.83,5.1
AIRTIGHT,5.1,3.3,4.76
AIRWAY,4.95,4.0,3.95
AISLE,5.17,2.5,4.87
AJAR,5.0,3.26,5.28
AKA,4.63,3.39,4.4
ALABASTER,5.5,3.95,5.35
ALARM,3.86,6.85,6.58
ALARM_CLOCK,3.47,5.36,4.82
ALARMING,3.52,6.5,4.05
ALBATROSS,5.68,3.09,4.91
ALBINO,4.9,3.09,4.05
ALBUM,6.19,5.63,5.86
ALCOHOL,4.11,5.17,4.0
ALCOHOLIC,2.49,5.48,3.27
ALCOHOLISM,2.0,5.0,3.0
ALCOVE,5.5,3.32,5.33
ALDERMAN,4.44,3.05,5.04
ALE,5.95,4.1,5.17
ALERT,5.38,5.14,6.58
ALFALFA,4.79,3.67,5.73
ALGEBRA,5.4,4.6,4.54
ALGORITHM,5.3,3.7,4.04
ALIAS,5.0,4.71,5.94
ALIBI,4.16,4.5,5.17
ALIEN,4.45,4.86,3.56
ALIENATE,2.79,4.27,3.71
ALIENATION,2.53,5.14,3.33
ALIGHT,5.67,3.86,5.88
ALIGN,5.95,3.32,5.95
ALIGNMENT,6.0,3.92,6.32
ALIMONY,3.86,3.09,4.32
ALIVE,6.57,5.93,6.77
ALLEGATION,3.26,5.9,3.96
ALLEGED,3.62,5.09,4.27
ALLEGIANCE,5.8,5.17,7.05
ALLEGRO,5.0,3.89,5.36
ALLERGIC,3.0,5.4,3.81
ALLERGY,2.9,3.9,3.5
ALLEVIATE,6.25,3.45,5.84
ALLEY,4.17,4.08,4.63
ALLEYWAY,3.46,3.7,5.2
ALLIANCE,6.14,4.4,5.78
ALLIED,5.95,3.38,5.4
ALLIGATOR,4.23,5.36,4.1
ALLOW,6.39,2.95,6.11
ALLOWANCE,6.74,4.05,5.7
ALLOY,5.2,3.32,5.9
ALLURE,6.9,4.25,5.77
ALLURING,6.74,4.35,5.86
ALLY,6.05,4.8,6.84
ALMANAC,5.55,3.24,5.88
ALMIGHTY,6.15,4.59,5.81
ALMOND,6.05,2.89,6.46
ALOHA,7.1,3.82,6.33
ALONE,3.85,4.0,4.5
ALOOF,4.59,3.09,4.63
ALPHA,5.5,3.67,6.32
ALPHABET,5.95,3.15,5.79
ALPHABETICAL,6.32,3.0,6.14
ALPINE,5.84,3.52,5.74
ALTAR,5.59,4.05,5.68
ALTAR_BOY,4.76,3.11,4.62
ALTER,4.57,4.17,5.57
ALTERATION,5.05,4.05,6.15
ALTERCATION,3.61,5.62,4.4
ALTERNATE,5.15,3.48,5.2
ALTERNATING,5.37,4.27,5.53
ALTERNATIVE,5.33,3.61,6.33
ALTIMETER,4.5,3.61,5.0
ALTITUDE,5.27,4.15,5.46
ALUMINUM,5.1,4.05,6.0
ALUMNUS,4.95,3.23,6.1
ALZHEIMERS,2.26,4.5,2.0
AMARETTO,6.0,4.04,5.19
AMATEUR,4.58,3.55,5.25
AMAZE,7.24,5.0,5.83
AMAZED,7.55,5.95,6.11
AMAZEMENT,7.29,6.3,6.43
AMAZING,7.72,6.05,6.83
AMBASSADOR,5.5,3.91,6.2
AMBER,6.15,3.36,6.21
AMBIENCE,6.35,3.85,5.57
AMBIENT,6.33,3.2,4.86
AMBIGUOUS,5.16,4.0,5.12
AMBITION,7.28,4.86,6.36
AMBITIOUS,6.33,5.76,5.88
AMBROSIA,5.95,4.05,5.67
AMBULANCE,3.71,5.33,3.29
AMBUSH,3.17,5.58,3.96
AMEND,5.85,3.06,4.96
AMENDMENT,5.6,3.5,4.77
AMENDS,6.68,3.95,5.96
AMIABLE,6.7,2.85,6.14
AMINO,4.45,3.83,5.73
AMMO,4.18,5.53,5.52
AMMONIA,3.74,3.0,3.83
AMMONIUM,4.06,4.37,4.84
AMMUNITION,4.59,5.7,5.95
AMNESIA,3.43,5.04,3.08
AMNESTY,5.38,3.86,6.0
AMOROUS,5.95,4.21,6.0
AMOUNT,5.42,3.53,5.39
AMOUR,6.43,5.43,5.91
AMP,5.79,5.05,5.13
AMPHIBIAN,5.4,3.35,5.42
AMPHIBIOUS,5.75,5.7,4.85
AMPLE,5.89,3.28,6.04
AMPUTATE,2.1,5.43,3.0
AMPUTATION,1.84,4.86,2.85
AMUCK,4.0,4.41,3.74
AMULET,5.75,3.95,5.79
AMUSE,7.1,5.17,6.8
AMUSED,7.05,4.27,5.93
AMUSEMENT,7.0,4.82,6.59
AMUSING,7.6,5.18,6.79
ANACONDA,4.43,6.0,4.08
ANAGRAM,4.37,3.86,4.83
ANAL,4.0,4.29,4.45
ANALOGY,5.24,3.95,5.33
ANALYSIS,5.25,3.74,5.95
ANALYST,5.0,3.24,4.76
ANALYTICAL,6.0,4.13,6.43
ANALYZE,5.65,4.1,5.96
ANALYZER,4.62,3.48,5.88
ANAPHYLACTIC,4.0,5.57,4.17
ANARCHIST,2.76,4.16,4.57
ANARCHY,3.68,4.86,3.1
ANATOMY,6.29,4.43,5.95
ANCESTOR,6.37,3.73,4.81
ANCESTRAL,6.6,3.6,5.05
ANCESTRY,6.29,3.71,4.16
ANCHOR,5.16,3.32,5.29
ANCHORAGE,5.09,3.82,5.8
ANCIENT,7.24,3.48,4.86
ANDROID,5.62,3.5,5.75
ANECDOTE,5.62,4.65,6.0
ANEMIA,3.05,4.09,3.55
ANEMIC,3.45,3.45,3.14
ANESTHESIA,4.84,3.64,2.95
ANESTHESIOLOGIST,4.95,3.56,3.68
ANESTHETIC,5.48,3.23,4.72
ANEURYSM,2.5,5.38,2.7
ANGEL,7.71,4.24,5.9
ANGELIC,6.68,4.27,6.32
ANGER,2.5,5.93,5.14
ANGINA,2.85,4.72,4.0
ANGIOGRAM,4.19,3.61,4.28
ANGLE,4.55,3.22,5.27
ANGORA,5.63,2.95,5.0
ANGRY,2.53,6.2,4.11
ANGST,3.5,5.76,3.62
ANGUISH,3.14,5.41,4.27
ANGUISHED,2.78,4.79,2.88
ANIMAL,7.06,4.3,5.72
ANIMATED,6.65,5.77,6.71
ANIMATION,6.42,5.52,5.16
ANIMOSITY,3.4,5.83,5.04
ANKLE,5.4,3.11,5.58
ANKLET,4.75,3.57,5.08
ANNALS,4.8,2.6,4.95
ANNEX,4.41,4.0,5.26
ANNIHILATE,3.15,6.44,4.62
ANNIHILATION,2.58,5.52,3.2
ANNIVERSARY,6.95,4.0,6.86
ANNOUNCE,5.52,3.65,5.48
ANNOUNCEMENT,5.81,4.3,5.05
ANNOUNCER,5.84,4.5,4.07
ANNOY,2.49,5.04,4.64
ANNOYANCE,2.95,4.1,3.45
ANNOYED,2.8,5.29,4.08
ANNOYING,3.0,5.55,3.28
ANNUAL,5.19,3.7,4.9
ANNUL,3.83,4.23,4.9
ANNULMENT,4.05,4.14,4.15
ANOINTED,4.79,3.32,5.18
ANOMALY,4.84,4.25,4.26
ANONYMITY,4.81,3.29,5.88
ANONYMOUS,5.75,4.13,5.48
ANOREXIC,2.71,4.24,3.43
ANSWER,6.1,4.0,5.95
ANT,3.9,3.27,5.3
ANTAGONISTIC,4.32,4.11,4.41
ANTAGONIZE,3.15,4.95,4.0
ANTELOPE,5.68,4.46,5.57
ANTENNA,5.43,3.15,5.67
ANTERIOR,4.89,3.36,4.64
ANTHEM,5.95,4.48,6.29
ANTHILL,4.32,4.63,4.76
ANTHRAX,2.32,4.72,2.71
ANTHROPOLOGICAL,5.53,3.82,5.14
ANTHROPOLOGIST,5.7,3.27,5.19
ANTHROPOLOGY,5.3,2.91,6.0
ANTI,4.47,4.23,5.05
ANTIAIRCRAFT,4.85,4.6,4.73
ANTIBIOTIC,5.88,4.05,5.72
ANTIBIOTICS,5.05,4.05,5.11
ANTICHRIST,2.36,5.58,4.39
ANTICIPATE,6.0,5.7,5.36
ANTICIPATION,5.26,5.39,5.53
ANTICS,3.95,5.1,5.24
ANTIDOTE,6.55,3.24,6.08
ANTIGRAVITY,5.74,5.1,3.77
ANTIQUATED,5.0,4.95,4.69
ANTIQUE,6.5,4.0,5.79
ANTIQUES,6.63,3.68,5.17
ANTISEPTIC,4.57,3.15,4.77
ANTISOCIAL,3.21,5.32,5.33
ANTSY,4.36,5.23,3.85
ANUS,2.9,4.39,4.96
ANVIL,5.05,4.4,5.38
ANXIETY,2.38,4.78,3.39
ANXIOUS,3.8,6.2,4.15
ANYTIME,5.81,4.6,5.32
AORTA,4.35,3.64,4.37
AORTIC,4.25,3.5,4.58
APACHE,5.2,3.7,4.95
APARTMENT,5.72,3.8,5.33
APARTMENTS,5.0,3.28,5.18
APATHY,3.68,3.8,5.15
APE,5.21,4.25,5.38
APEX,5.52,3.48,5.17
APHRODISIAC,6.43,5.96,5.04
APOCALYPSE,3.24,5.04,2.65
APOLOGETIC,6.65,4.0,5.0
APOLOGIZE,4.94,3.52,4.22
APOLOGY,6.24,4.0,5.1
APOSTLE,5.5,4.38,4.71
APOTHECARY,5.48,4.23,5.35
APPALLED,3.62,4.91,4.11
APPALLING,2.95,5.5,4.55
APPARATUS,5.5,4.0,5.14
APPAREL,5.38,4.3,6.19
APPARENT,4.96,3.19,6.4
APPARITION,4.85,4.82,4.38
APPEAL,6.3,3.57,5.36
APPEAR,5.25,3.24,5.36
APPEARANCE,6.14,4.57,5.9
APPEASE,5.95,3.55,5.59
APPENDAGE,4.23,4.35,5.32
APPENDECTOMY,2.95,6.14,3.59
APPENDICITIS,1.86,5.12,2.71
APPENDIX,4.81,2.92,4.25
APPETITE,6.23,5.37,5.57
APPETIZER,7.29,4.52,6.36
APPETIZING,7.0,4.82,6.18
APPLAUD,6.7,5.05,5.91
APPLAUSE,7.12,5.38,6.56
APPLE,6.62,3.52,6.44
APPLE_JUICE,7.3,3.2,6.0
APPLEJACK,5.79,3.8,5.74
APPLESAUCE,6.9,2.78,6.39
APPLIANCE,5.15,2.84,5.0
APPLICANT,4.91,3.96,5.08
APPLICATION,5.05,4.52,4.3
APPLY,5.16,3.24,6.2
APPOINT,5.95,4.25,5.65
APPOINTMENT,4.43,4.8,6.68
APPRAISAL,5.09,4.09,5.65
APPRECIATE,7.33,3.1,7.0
APPRECIATION,7.3,4.68,6.63
APPRECIATIVE,7.14,4.35,6.9
APPREHEND,4.14,5.13,4.48
APPREHENSION,4.15,4.23,5.07
APPREHENSIVE,3.32,4.77,4.64
APPRENTICE,5.95,3.59,5.05
APPROACH,5.45,4.48,6.03
APPROPRIATE,6.1,4.04,5.0
APPROVAL,6.75,3.52,6.63
APPROVE,7.0,4.09,7.26
APPROXIMATE,5.26,3.82,4.95
APRICOT,5.95,4.29,5.94
APRON,5.8,2.9,5.28
APT,5.64,4.05,5.95
APTITUDE,5.95,4.55,5.45
AQUA,6.5,3.6,4.82
AQUAMARINE,6.4,3.9,4.95
AQUARIUM,6.43,4.3,6.14
AQUATIC,6.8,3.58,4.53
ARBITRARY,4.15,4.55,4.77
ARBITRATION,4.09,4.41,4.19
ARCADE,6.45,6.1,6.81
ARCANE,5.25,3.61,5.55
ARCH,5.8,3.15,5.45
ARCHAEOLOGICAL,6.05,4.52,5.18
ARCHAEOLOGIST,5.42,4.14,5.17
ARCHAEOLOGY,6.1,3.86,5.26
ARCHAIC,4.5,4.38,4.62
ARCHANGEL,7.27,4.19,4.79
ARCHBISHOP,4.71,3.78,4.73
ARCHDIOCESE,3.95,3.41,4.04
ARCHDUKE,4.15,3.56,5.73
ARCHERY,5.25,4.39,5.73
ARCHITECT,6.21,3.25,6.05
ARCHITECTURAL,6.32,4.05,5.18
ARCHITECTURE,6.05,4.39,5.67
ARCHIVE,4.81,4.18,5.24
ARCTIC,4.45,3.88,5.0
ARDENT,4.95,4.62,5.32
AREA,5.56,2.19,5.06
ARENA,5.75,4.23,6.04
ARGUE,3.15,6.67,4.77
ARGUMENT,2.62,5.22,5.65
ARGUMENTATIVE,3.2,5.61,4.0
ARISE,6.17,4.76,5.87
ARISTOCRACY,5.21,4.15,5.08
ARISTOCRAT,4.28,3.6,4.94
ARISTOCRATIC,5.79,3.18,4.43
ARITHMETIC,4.95,4.0,5.54
ARK,6.15,3.52,5.88
ARM,5.44,3.44,6.02
ARMADA,4.6,3.29,5.6
ARMAMENT,5.05,4.65,5.37
ARMCHAIR,5.67,2.75,5.79
ARMED,4.11,6.3,5.68
ARMOR,6.1,3.29,6.3
ARMORED,5.67,3.52,5.7
ARMORY,5.25,4.48,5.74
ARMPIT,4.1,3.57,5.24
ARMY,4.65,4.49,4.65
AROMA,7.65,4.35,6.06
AROUSE,6.67,6.21,6.1
AROUSED,5.95,7.3,5.58
ARRAIGNMENT,3.91,4.6,5.33
ARRANGE,5.15,3.57,6.71
ARRANGEMENT,5.71,3.0,5.5
ARRAY,5.9,3.71,5.62
ARREST,2.33,6.86,3.11
ARRHYTHMIA,3.86,4.95,4.25
ARRIVAL,6.67,3.6,6.53
ARRIVE,6.41,5.0,6.84
ARROGANCE,2.55,4.65,5.0
ARROGANT,2.52,5.15,4.64
ARROW,5.24,3.91,5.53
ARSENAL,4.45,5.48,5.25
ARSENIC,3.0,4.7,3.46
ARSON,2.26,5.41,3.78
ARSONIST,2.5,6.95,3.42
ART,6.85,4.48,6.02
ARTERIAL,3.95,3.39,4.12
ARTERY,4.29,4.09,4.78
ARTHRITIS,2.32,4.27,2.63
ARTICHOKE,5.3,3.5,5.48
ARTICLE,5.68,3.5,5.68
ARTICULATE,6.55,4.27,6.89
ARTIFACT,6.2,4.95,5.73
ARTIFICIAL,3.86,4.17,4.55
ARTILLERY,4.1,4.56,4.64
ARTIST,6.76,4.1,6.95
ARTISTE,6.33,3.0,5.35
ARTISTIC,7.0,5.0,6.86
ARTISTRY,6.91,4.71,7.43
ARTWORK,6.76,4.18,6.33
ARTY,6.55,5.53,5.48
ASBESTOS,2.24,4.38,3.05
ASCEND,6.19,4.13,5.58
ASCENDANT,5.29,3.23,5.78
ASCENDING,5.14,3.73,5.55
ASCENSION,5.77,5.36,5.45
ASCERTAIN,5.3,3.17,6.29
ASHAMED,2.52,5.65,4.63
ASHTRAY,3.52,3.48,5.56
ASININE,5.05,4.63,4.81
ASK,5.95,3.48,6.29
ASLEEP,6.5,2.0,4.33
ASPARAGUS,5.43,2.73,5.67
ASPECT,4.89,3.39,4.76
ASPEN,6.57,4.11,5.5
ASPHALT,4.46,3.2,4.62
ASPHYXIA,2.19,6.14,2.4
ASPHYXIATION,1.53,6.91,2.54
ASPIRATION,6.26,5.0,5.94
ASPIRE,6.43,3.68,6.85
ASPIRIN,5.3,3.35,5.12
ASPIRING,6.89,4.41,6.85
ASS,5.45,5.43,3.61
ASSAILANT,3.24,5.7,3.0
ASSASSIN,2.11,5.82,3.36
ASSASSINATE,3.27,6.38,3.23
ASSASSINATION,1.83,6.2,4.0
ASSAULT,2.05,6.8,3.49
ASSEMBLE,5.14,3.52,6.28
ASSEMBLY,5.47,3.95,4.82
ASSEMBLYMAN,5.0,3.12,5.21
ASSERT,5.68,4.64,5.93
ASSERTIVE,5.37,5.55,6.04
ASSESS,5.84,3.45,5.21
ASSESSMENT,5.22,2.75,5.44
ASSET,7.25,4.43,6.0
ASSHOLE,2.11,6.38,2.89
ASSIGN,4.75,3.71,5.74
ASSIGNMENT,5.39,4.45,6.0
ASSIMILATE,4.63,4.15,5.15
ASSIST,5.95,3.76,6.41
ASSISTANCE,5.82,3.82,6.45
ASSISTANT,5.91,4.8,6.37
ASSOCIATE,5.2,3.11,4.88
ASSOCIATION,5.5,3.67,6.14
ASSORTED,5.82,3.52,5.41
ASSORTMENT,5.64,3.88,5.79
ASSUME,4.41,4.2,6.21
ASSUMPTION,4.3,4.14,5.03
ASSURANCE,5.95,2.81,6.07
ASSURE,6.33,3.1,6.52
ASTERISK,5.38,2.78,5.72
ASTEROID,4.95,5.6,3.68
ASTHMA,2.45,4.5,3.54
ASTHMATIC,3.33,3.38,3.84
ASTONISH,5.55,5.38,6.0
ASTONISHED,6.42,5.73,4.87
ASTONISHING,6.53,5.77,5.23
ASTOUND,6.3,5.05,5.56
ASTRAL,5.32,5.13,5.26
ASTROLOGY,4.79,4.18,4.67
ASTRONAUT,6.73,4.4,5.32
ASTRONOMER,5.59,5.42,5.33
ASTRONOMICAL,6.37,5.0,5.14
ASTRONOMY,6.0,4.33,5.21
ASTUTE,6.22,3.16,6.0
ASYLUM,3.24,5.55,3.52
ATHEIST,4.64,4.76,5.41
ATHLETE,6.21,4.75,5.96
ATHLETIC,6.76,5.0,6.11
ATHLETICS,6.14,4.93,6.15
ATLAS,5.95,2.5,5.7
ATMOSPHERE,6.05,4.0,4.86
ATMOSPHERIC,5.72,4.09,5.11
ATOLL,5.14,3.55,4.7
ATOM,5.74,4.29,5.39
ATOMIC,4.26,5.85,3.96
ATONE,5.6,4.0,5.65
ATRIUM,5.95,3.57,5.22
ATROCIOUS,3.14,4.12,4.35
ATROCITY,2.95,5.0,2.96
ATROPHY,3.16,3.86,4.0
ATTACH,5.26,3.81,4.7
ATTACHMENT,6.0,2.96,6.32
ATTACK,2.0,7.05,3.39
ATTACKER,2.23,7.27,4.26
ATTAIN,5.85,3.11,7.08
ATTEMPT,6.0,4.94,5.67
ATTEMPTED,5.35,3.64,6.52
ATTEND,5.4,3.5,6.7
ATTENDANCE,5.95,4.24,5.59
ATTENDANT,5.63,3.14,5.09
